Account,T/D,S/D,Currency,Type,Side,Symbol,Qty,Price,Exec Time,Comm,SEC,TAF,NSCC,Nasdaq,ECN Remove,ECN Add,Gross Proceeds,Net Proceeds,Clr Broker,Liq,Note
DLE91628,02/19/2019,02/21/2019,USD,2,B,FUV,500,5.4,09:43:00,2.5,0,0,0.033,0.00785,0,0,-2700,-2702.54085,MNGD,,
DLE91628,02/19/2019,02/21/2019,USD,2,S,FUV,500,5.11102,09:43:37,2.5,0.04,0.06,0.033,0.00785,0,0,2555.51,2552.86915,MNGD,A,
DLE91628,02/20/2019,02/22/2019,USD,2,B,KNDI,500,8.2599,10:33:38,2,0,0,0.033,0.00785,0,0,-4129.95,-4131.99085,MNGD,,
DLE91628,02/20/2019,02/22/2019,USD,2,S,KNDI,500,8.3,10:33:56,0,0.06,0.06,0.033,0.00785,0,0,4150,4149.83915,EDGX,Y,
DLE91628,02/21/2019,02/25/2019,USD,2,B,KNDI,500,9.1377,09:38:33,2,0,0,0.033,0.00785,0,0,-4568.85,-4570.89085,MNGD,,
DLE91628,02/21/2019,02/25/2019,USD,2,S,KNDI,500,9.14,09:38:45,0,0.06,0.06,0.033,0.00785,0,0,4570,4569.83915,EDGX,Y,
DLE91628,02/21/2019,02/25/2019,USD,2,B,FUV,500,5.1314,09:43:51,2,0,0,0.033,0.00785,0,0,-2565.7,-2567.74085,MNGD,,
DLE91628,02/21/2019,02/25/2019,USD,2,S,FUV,500,4.86,09:45:24,2,0.04,0.06,0.033,0.00785,0,0,2430,2427.85915,MNGD,,
DLE91628,02/21/2019,02/25/2019,USD,2,B,ZSAN,500,3.548,11:00:54,2,0,0,0.033,0.00785,0,0,-1774,-1776.04085,MNGD,RI,
DLE91628,02/21/2019,02/25/2019,USD,2,S,ZSAN,500,3.57,11:02:28,0,0.03,0.06,0.033,0.00785,0,0,1785,1784.86915,EDGX,Y,
DLE91628,02/21/2019,02/25/2019,USD,2,B,ZSAN,500,4.1177,11:20:34,2,0,0,0.033,0.00785,0,0,-2058.85,-2060.89085,MNGD,,
DLE91628,02/21/2019,02/25/2019,USD,2,S,ZSAN,500,4.2,11:20:59,0,0.03,0.06,0.033,0.00785,0,0,2100,2099.86915,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,B,HYRE,500,4.97,09:45:59,2,0,0,0.033,0.00785,0,0,-2485,-2487.04085,MNGD,RI,
DLE91628,02/22/2019,02/26/2019,USD,2,S,HYRE,250,5.03,09:47:11,0,0.02,0.03,0.033,0.003925,0,0,1257.5,1257.413075,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,S,HYRE,250,4.8525,09:47:38,1,0.02,0.03,0.033,0.003925,0,0,1213.125,1212.038075,MNGD,,
DLE91628,02/22/2019,02/26/2019,USD,2,B,ACHV,500,3.9,09:48:56,2,0,0,0.033,0.00785,0,0,-1950,-1952.04085,MNGD,R,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,250,3.94,09:49:10,0,0.02,0.03,0.033,0.003925,0,0,985,984.913075,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,250,3.793,09:50:12,1,0.02,0.03,0.033,0.003925,0,0,948.25,947.163075,MNGD,,
DLE91628,02/22/2019,02/26/2019,USD,2,B,ACHV,500,3.94,09:51:06,2,0,0,0.033,0.00785,0,0,-1970,-1972.04085,MNGD,,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,250,4,09:51:29,0,0.02,0.03,0.033,0.003925,0,0,1000,999.913075,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,250,4.07,09:51:35,0,0.02,0.03,0.033,0.003925,0,0,1017.5,1017.413075,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,B,ACHV,500,4.25,09:55:38,2,0,0,0.033,0.00785,0,0,-2125,-2127.04085,MNGD,,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,500,4.11,09:55:59,2,0.03,0.06,0.033,0.00785,0,0,2055,2052.86915,MNGD,RI,
DLE91628,02/22/2019,02/26/2019,USD,2,B,ACHV,500,4.29,10:06:18,2,0,0,0.033,0.00785,0,0,-2145,-2147.04085,MNGD,,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,250,4.39,10:06:35,0,0.02,0.03,0.033,0.003925,0,0,1097.5,1097.413075,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,250,4.38,10:06:37,0,0.02,0.03,0.033,0.003925,0,0,1095,1094.913075,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,B,IGLD,500,1.22,10:52:30,2,0,0,0.033,0.00785,0,0,-610,-612.04085,MNGD,R,
DLE91628,02/22/2019,02/26/2019,USD,2,S,IGLD,250,1.23,10:53:01,0,0.01,0.03,0.033,0.003925,0,0,307.5,307.423075,EDGX,Y,
DLE91628,02/22/2019,02/26/2019,USD,2,S,IGLD,250,1.2326,10:59:32,1,0.01,0.03,0.033,0.003925,0,0,308.15,307.073075,MNGD,,
DLE91628,02/22/2019,02/26/2019,USD,2,B,ACHV,500,3.81,11:05:02,2,0,0,0.033,0.00785,0,0,-1905,-1907.04085,MNGD,,
DLE91628,02/22/2019,02/26/2019,USD,2,S,ACHV,500,3.74,11:06:09,2,0.03,0.06,0.033,0.00785,0,0,1870,1867.86915,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,B,CIFS,500,1.9767,09:31:07,2,0,0,0.033,0.00785,0,0,-988.35,-990.39085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,CIFS,500,1.8801,09:31:28,2,0.02,0.06,0.033,0.00785,0,0,940.05,937.92915,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,B,HYRE,500,5.4777,09:35:10,2,0,0,0.033,0.00785,0,0,-2738.85,-2740.89085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,HYRE,500,5.53,09:35:20,0,0.04,0.06,0.033,0.00785,0,0,2765,2764.85915,EDGX,Y,
DLE91628,02/25/2019,02/27/2019,USD,2,B,GSUM,500,3.9956,10:00:42,2,0,0,0.033,0.00785,0,0,-1997.8,-1999.84085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,GSUM,500,3.9085,10:01:08,2,0.03,0.06,0.033,0.00785,0,0,1954.25,1952.11915,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,B,CIFS,500,2.7,10:11:16,2,0,0,0.033,0.00785,0,0,-1350,-1352.04085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,CIFS,500,2.76,10:11:33,0,0.02,0.06,0.033,0.00785,0,0,1380,1379.87915,EDGX,Y,
DLE91628,02/25/2019,02/27/2019,USD,2,B,CIFS,500,2.855,10:14:04,2,0,0,0.033,0.00785,0,0,-1427.5,-1429.54085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,CIFS,500,2.89,10:14:12,0,0.02,0.06,0.033,0.00785,0,0,1445,1444.87915,EDGX,Y,
DLE91628,02/25/2019,02/27/2019,USD,2,B,CIFS,500,3,10:49:41,2,0,0,0.033,0.00785,0,0,-1500,-1502.04085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,CIFS,500,3.05,10:49:49,0,0.02,0.06,0.033,0.00785,0,0,1525,1524.87915,EDGX,Y,
DLE91628,02/25/2019,02/27/2019,USD,2,B,CIFS,500,3.1199,10:51:55,2,0,0,0.033,0.00785,0,0,-1559.95,-1561.99085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,CIFS,500,3.03,10:52:13,2,0.02,0.06,0.033,0.00785,0,0,1515,1512.87915,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,B,ZSAN,500,5.2699,11:34:57,2,0,0,0.033,0.00785,0,0,-2634.95,-2636.99085,MNGD,,
DLE91628,02/25/2019,02/27/2019,USD,2,S,ZSAN,500,5.34,11:36:10,0,0.04,0.06,0.033,0.00785,0,0,2670,2669.85915,EDGX,Y,
